rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Competing primary CTAs,URGENT,Homepage,Medium,2-5 days,5,10,no,conversion,Replace dual SHOP MEN/SHOP WOMEN CTAs with a single 'Shop All' CTA to reduce friction and let users self-select later.,Two equally prominent CTAs split user intent and delay the path to purchase.,h1: Wildly Comfortable. Super Natural.; cta: Shop All; notes: Replace dual CTAs with a single 'Shop All' CTA to reduce friction and let users self-select later in the funnel.,"H1: 'Wildly Comfortable. Super Natural.' CTAs: 'SHOP MEN', 'SHOP WOMEN' | H1: 'Wildly Comfortable. Super Natural.' CTAs: 'SHOP MEN' and 'SHOP WOMEN' with no subheadline in the hero section.","Funnel-Path & Commerce Clarity, Message Clarity",70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_1_competing_primary_ctas.html
2,Vague hero copy,URGENT,Homepage,Low,0.5-2 days,5,10,no,conversion,"Rewrite hero headline and add subheadline to directly address visitor intent for comfortable, sustainable shoes.","The hero headline and subhead are abstract and feature-led, failing to directly address the visitor's intent to find comfortable, sustainable shoes, which may cause them to bounce without engaging.","h1: Comfortable Shoes, Made from Nature; cta: Shop Best Sellers; notes: Add a subheadline: 'Free shipping & returns. Find your perfect fit in minutes.' This directly addresses the visitor's search for comfortable, sustainable footwear and provides a clear next step.",H1: 'Wildly Comfortable. Super Natural.' CTAs: 'SHOP MEN' and 'SHOP WOMEN' with no subheadline in the hero section.,Message Clarity,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_2_vague_hero_copy.html
3,Shipping delay warning,URGENT,Homepage,Medium,2-5 days,5,10,no,conversion,Soften the shipping delay notice and replace with trust-building messaging to reduce objection.,The prominent 'orders may take up to 30 days to ship' notice at the top of the homepage creates immediate hesitation and may deter conversions by signaling fulfillment risk.,"h1: Wildly Comfortable. Super Natural.; cta: SHOP MEN / SHOP WOMEN; notes: Soften the messaging to 'Free shipping on orders over $100' and move the delay notice to a less prominent location, or replace with a trust-building line like 'Free 30-day returns' to reduce objection.","Body sample: 'Due to increased demand, orders may take up to 30 days to ship.'",Trust & Objection,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_3_shipping_delay_warning.html
4,Free shipping threshold hidden,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion,Include the free shipping threshold in the hero or near CTAs to set clear expectations.,"The homepage hero promotes 'Free ground shipping on orders over $100' but the threshold is not visible on the hero or in the main navigation, creating an expectation gap for users who may not see the fine print.",h1: Wildly Comfortable. Super Natural. Free Shipping Over $100; cta: SHOP MEN / SHOP WOMEN; notes: Include the free shipping threshold in the hero or near CTAs to set clear expectations.,"Homepage body_sample: 'Free ground shipping on orders over $100' appears in the top bar, but the hero section (H1: 'Wildly Comfortable. Super Natural.') and CTAs ('SHOP MEN', 'SHOP WOMEN') do not mention the threshold. The threshold is only in the site-wide announcement bar, which may be overlooked.",Pricing Transparency,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_4_free_shipping_threshold_hidden.html
5,Mega-menu choice overload,HIGH,Navigation,Low,0.5-2 days,5,10,no,conversion,Reduce top-level nav items to 5-7 and consolidate sub-lists to reduce cognitive load.,"The mega-menu presents 20+ nav items with multiple sub-lists, risking choice overload and decision paralysis for users.","h1: Wildly Comfortable. Super Natural.; cta: SHOP MEN / SHOP WOMEN; notes: Reduce top-level nav items to 5-7, consolidate sub-lists, and use clear category labels to reduce cognitive load.","nav_items list on homepage includes 20 items: 'New Arrivals', 'Shop All', 'Bestsellers', 'LEATHER ALTERNATIVES', 'Men's Shoes', 'Sneakers', 'Slip Ons', 'Sandals', 'Active', 'All-Weather', 'Runner NZ', 'Cruiser', 'Tree Runner NZ', 'Socks', 'Men's Apparel', 'Women's Shoes', 'Trainers', 'Flats', 'Canvas Cruiser', 'Women's Apparel'.",Nav & Distraction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_5_mega_menu_choice_overload.html
6,Unlabeled email signup,HIGH,Homepage,Low,0.5-2 days,5,10,no,conversion,Add a visible label to the email input and a value proposition to improve clarity and accessibility.,"The email signup form has an input with no visible label, relying solely on placeholder text, which can hurt accessibility and clarity.","h1: Wildly Comfortable. Super Natural.; cta: Sign Up; notes: Add a visible label like 'Email address' and consider a clear value proposition (e.g., 'Get 10% off your first order').","On homepage, forms array shows a form with n_inputs: 1, labels: [], submit: 'Sign Up'. Body sample includes 'Subscribe to our emails Sign Up'.",Nav & Distraction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_6_unlabeled_email_signup.html
7,Out-of-stock notification form,HIGH,Product Page,Medium,2-5 days,4,10,no,conversion,"Add restock date, size selection, and suggest similar in-stock items to retain purchase intent.","The product page for Anytime Ankle Sock shows a 'Get Notified' CTA, indicating the item is out of stock, but the form likely only captures an email without offering alternatives or a clear restock timeline, risking lost sales.","h1: Anytime Ankle Sock; cta: Get Notified; notes: Add a restock date or 'Join Waitlist' with size selection, and suggest similar in-stock socks to retain purchase intent.",CTA 'Get Notified' present on product page; no add-to-cart button visible in crawl data.,Form / Friction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_7_out_of_stock_notification_form.html
8,Missing review count,HIGH,Product Page,Medium,2-5 days,4,10,no,conversion,"Add a review summary (e.g., '4.5 stars (1,200 reviews)') under the price to provide social proof.","The product page lacks a visible review count or rating summary near the price, which is a common trust signal that reduces purchase hesitation for new visitors.","h1: Anytime Ankle Sock; cta: Add to Cart; notes: Add a review summary (e.g., '4.5 stars (1,200 reviews)') directly under the price to provide social proof and reduce hesitation.",The page has a section 'Reviews for Anytime Ankle Sock' but no review count or star rating is visible in the provided inventory; the trust flags show 'reviews: true' but the count is not surfaced.,Trust & Objection,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_8_missing_review_count.html
9,Single-field email capture,HIGH,Forms & Signup,Medium,2-5 days,3,10,no,conversion,Add a clear incentive and privacy note to the email signup form to increase opt-in rates.,"The homepage email signup form asks only for an email address, which is minimal friction but lacks a trust layer or incentive beyond generic 'Sign Up', potentially reducing opt-in rates.","h1: Wildly Comfortable. Super Natural.; cta: Get 10% Off Your First Order; notes: Add a clear incentive (e.g., discount) and a privacy note (e.g., 'No spam, unsubscribe anytime') to increase signup conversion.","Form on homepage has 1 input, no labels, submit button 'Sign Up'. | On homepage, forms array shows a form with n_inputs: 1, labels: [], submit: 'Sign Up'. Body sample includes 'Subscribe to our emails Sign Up'.","Form / Friction, Nav & Distraction",35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_9_single_field_email_capture.html
10,Controls without accessible names,HIGH,Accessibility,Low,0.5-2 days,2,10,yes,trust,Give every control a visible text label or aria-label to meet WCAG 2.2 AA.,"41 of 79 buttons expose no text label, so screen readers and voice control cannot address them and the control is unusable.","notes: Give every control a visible text label or an aria-label. WCAG 2.2 AA, success criterion 4.1.2 Name, Role, Value.",Measured on the live homepage: 41 of 79 <button> elements contain no text content and no aria-label.,Technical & Accessibility,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_10_controls_without_accessible_names.html
